customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,transaction_id,revenue
642,Troy Mitchell,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,Tr****@gmail.com,838****968,successful,1,40500.0
881,Sarah Guerrero,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,Sa****@yahoo.com,714****911,successful,2,227500.0
505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,Sa****@outlook.com,741****565,successful,3,123500.0
794,Gerald Cooper,106,80000.0,Sofa,Furniture,offline,Chennai,2025-10-06,2,UPI,0.05,Ge****@gmail.com,973****201,successful,4,152000.0
864,Cameron Black,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,Ca****@yahoo.com,993****477,successful,5,14250.0
181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,Ma****@gmail.com,879****717,successful,6,812500.0
142,Charles Brown,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,Ch****@gmail.com,998****322,successful,7,475000.0
457,Cathy Harris,102,70000.0,Phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,Ca****@gmail.com,839****576,successful,8,66500.0
749,Linda Lara,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,Li****@outlook.com,747****201,successful,9,94500.0
146,Jose Thomas,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,Jo****@outlook.com,839****963,successful,10,84000.0
946,Lisa Cochran,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15,4,Card,0.3,Li****@gmail.com,835****319,successful,11,22400.0
757,Yvette Clark,106,80000.0,Sofa,Furniture,online,Hyderabad,2025-06-30,3,UPI,0.25,Yv****@gmail.com,602****334,successful,12,180000.0
838,Susan Torres,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,Su****@outlook.com,877****426,successful,13,211250.0
117,Brent Clark,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,Br****@gmail.com,905****598,successful,14,260000.0
923,George Wilkinson,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,UPI,0.25,Ge****@gmail.com,651****222,successful,15,243750.0
765,Eric Gaines,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,Er****@yahoo.com,766****327,successful,16,34000.0
570,Donald Carter,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19,3,NetBanking,0.15,Do****@gmail.com,794****219,successful,17,178500.0
973,Allen Gilbert,108,15000.0,Mixer Grinder,Home Appliances,offline,Mumbai,2025-05-15,2,Card,0.15,Al****@outlook.com,754****731,successful,18,25500.0
786,Jeremiah Simmons,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,Je****@outlook.com,713****116,successful,19,4160.0
576,Angela Weiss,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05,1,Card,0.15,An****@yahoo.com,643****539,successful,20,6800.0
256,Nicole Williams,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,Ni****@gmail.com,926****732,successful,21,185250.0
737,Kimberly Lloyd,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,Ki****@gmail.com,605****093,successful,22,156000.0
104,Amanda Castillo,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,Am****@yahoo.com,925****548,successful,23,22500.0
799,Stephanie Dunn,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,St****@gmail.com,748****744,successful,24,33750.0
249,Alyssa Henderson,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,Al****@gmail.com,995****109,successful,25,49000.0
149,Ashley Mejia,106,80000.0,Sofa,Furniture,offline,Chennai,2026-01-28,1,Cash,0.05,As****@outlook.com,687****443,successful,26,76000.0
927,Bradley Sparks,105,45000.0,TV,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,Br****@gmail.com,824****514,successful,27,180000.0
868,Timothy Henderson,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,Ti****@gmail.com,656****386,successful,28,35000.0
1,Karen Pollard,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2025-06-28,2,Card,0.3,Ka****@yahoo.com,714****363,successful,29,91000.0
980,Alexis Andrews,106,80000.0,Sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,Al****@gmail.com,960****841,successful,30,380000.0
455,Morgan Wright,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,Mo****@yahoo.com,982****087,successful,31,140000.0
367,Joshua Tate,105,45000.0,TV,Electronics,offline,Delhi,2025-11-14,4,Cash,0.4,Jo****@outlook.com,989****716,successful,32,108000.0
50,Stacey Henderson,104,8000.0,Shoes,Clothing,online,Mumbai,2025-06-14,-1,Card,0.4,St****@gmail.com,603****385,successful,33,-4800.0
968,Keith Davis,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-09,4,Cash,0.15,Ke****@yahoo.com,631****512,successful,34,170000.0
390,Erika Knight,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-05-25,2,Card,0.1,Er****@gmail.com,880****025,successful,35,81000.0
528,Kerri Rodriguez,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,Ke****@gmail.com,775****493,successful,36,126000.0
46,Mallory Boyd,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-07,3,UPI,0.1,Ma****@gmail.com,691****449,successful,37,3510.0
437,Carrie Landry,104,8000.0,Shoes,Clothing,offline,Delhi,2026-01-21,1,Cash,0.25,Ca****@outlook.com,991****206,successful,38,6000.0
234,Kristin Taylor,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,Kr****@outlook.com,616****410,successful,39,7200.0
391,Catherine Beard,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-08-03,2,NetBanking,0.3,Ca****@gmail.com,922****305,successful,40,1819.9999999999998
743,Dorothy Davis,103,1300.0,Shirt,Clothing,online,Delhi,2025-12-22,3,NetBanking,0.1,Do****@yahoo.com,847****600,successful,41,3510.0
17,Duane Hall,105,45000.0,TV,Electronics,online,Bangalore,2025-07-11,2,Cash,0.3,Du****@outlook.com,746****149,successful,42,62999.99999999999
861,Tim Brock,105,45000.0,TV,Electronics,offline,Bangalore,2025-05-26,5,Card,0.4,Ti****@outlook.com,889****491,successful,43,135000.0
213,Nancy Lee,104,8000.0,Shoes,Clothing,offline,Hyderabad,2025-05-14,3,Card,0.25,Na****@yahoo.com,885****242,successful,44,18000.0
220,Maria Walker,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-11-23,4,Cash,0.15,Ma****@gmail.com,733****210,successful,45,27200.0
463,Kevin Cruz,104,8000.0,Shoes,Clothing,online,Delhi,2025-04-27,5,UPI,0.1,Ke****@gmail.com,806****173,successful,46,36000.0
429,Michael Welch,101,250000.0,Laptop,Electronics,offline,Delhi,2025-08-27,4,NetBanking,0.1,Mi****@gmail.com,963****250,successful,47,900000.0
222,Emily Hernandez,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-07-11,1,Cash,0.25,Em****@gmail.com,891****256,successful,48,11250.0
971,Larry Ramos,103,1300.0,Shirt,Clothing,offline,Chennai,2025-07-10,5,UPI,0.2,La****@gmail.com,896****114,successful,49,5200.0
670,Fernando Kelly,106,80000.0,Sofa,Furniture,offline,Chennai,2025-05-31,5,UPI,0.15,Fe****@yahoo.com,895****911,successful,50,340000.0
485,James Harris,107,50000.0,Dining Table,Furniture,online,Delhi,2025-07-12,2,Card,0.1,Ja****@yahoo.com,846****157,successful,51,90000.0
883,Charles David,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-17,1,Card,0.4,Ch****@yahoo.com,606****922,successful,52,4800.0
202,Amanda Reed,103,1300.0,Shirt,Clothing,offline,Delhi,2025-11-03,1,Card,0.15,Am****@yahoo.com,657****299,successful,53,1105.0
817,Nicole Ross,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-07-25,3,Cash,0.25,Ni****@gmail.com,827****866,successful,54,112500.0
801,Brandi Bryan,104,8000.0,Shoes,Clothing,online,Delhi,2025-10-01,5,UPI,0.3,Br****@gmail.com,745****583,successful,55,28000.0
284,Erin Richmond,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20,2,NetBanking,0.4,Er****@gmail.com,929****578,successful,56,9600.0
72,Michael Wood,105,45000.0,TV,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,Mi****@gmail.com,838****077,successful,57,180000.0
873,Tracy Bass,101,250000.0,Laptop,Electronics,offline,Hyderabad,2025-10-28,3,UPI,0.15,Tr****@outlook.com,688****034,successful,58,637500.0
854,Dennis Dorsey,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2025-07-13,3,NetBanking,0.15,De****@yahoo.com,707****116,successful,59,38250.0
874,Samuel Patel,106,80000.0,Sofa,Furniture,offline,Mumbai,2025-05-20,5,UPI,0.25,Sa****@gmail.com,680****067,successful,60,300000.0
507,Thomas Cameron,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-23,2,Cash,0.3,Th****@outlook.com,921****264,successful,61,11200.0
736,Lisa Lee,104,8000.0,Shoes,Clothing,offline,Delhi,2025-06-07,4,NetBanking,0.05,Li****@gmail.com,705****221,successful,62,30400.0
182,Kathleen Castro,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2026-02-25,5,NetBanking,0.35,Ka****@outlook.com,881****367,successful,63,162500.0
341,Cory Alvarado,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-12-14,3,NetBanking,0.1,Co****@outlook.com,763****155,successful,64,121500.0
937,Nicole Woods,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-04-22,2,NetBanking,0.25,Ni****@yahoo.com,934****075,successful,65,22500.0
164,Shawn Stewart,104,8000.0,Shoes,Clothing,offline,Chennai,2025-04-16,2,Card,0.3,Sh****@gmail.com,716****854,successful,66,11200.0
188,Allison Oliver,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04,3,Cash,0.3,Al****@gmail.com,983****624,successful,67,136500.0
603,Shawn Roberson,104,8000.0,Shoes,Clothing,offline,Chennai,2025-09-30,4,Card,0.15,Sh****@gmail.com,640****575,successful,68,27200.0
656,Adam White,104,8000.0,Shoes,Clothing,online,Hyderabad,2025-08-29,1,NetBanking,0.1,Ad****@yahoo.com,909****407,successful,69,7200.0
687,Robert Estrada,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2026-04-05,1,UPI,0.1,Ro****@yahoo.com,868****773,successful,70,40500.0
186,Dawn Garrett,105,45000.0,TV,Electronics,offline,Chennai,2026-01-23,2,Card,0.3,Da****@gmail.com,962****201,successful,71,62999.99999999999
865,Jessica Patterson,102,70000.0,Phone,Electronics,online,Hyderabad,2026-04-07,1,UPI,0.2,Je****@outlook.com,939****460,successful,72,56000.0
523,Emily Cohen,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09,4,Card,0.1,Em****@gmail.com,919****627,successful,73,900000.0
907,Jeffrey Mccall,102,70000.0,Phone,Electronics,online,Hyderabad,2025-05-26,0,Card,0.4,Je****@gmail.com,670****650,successful,74,0.0
729,Elizabeth Hunt,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-08-10,1,NetBanking,0.1,El****@outlook.com,890****121,successful,75,13500.0
335,Jacob Evans,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-04-11,-2,NetBanking,0.35,Ja****@yahoo.com,648****310,successful,76,-1690.0
780,Elizabeth Miller,110,45000.0,Microwave,Home Appliances,offline,Delhi,2025-09-14,0,Card,0.3,El****@yahoo.com,827****798,successful,77,0.0
874,Samuel Patel,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-06-11,4,Cash,0.1,Sa****@gmail.com,680****067,successful,78,28800.0
977,Gloria Navarro,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-16,5,UPI,0.3,Gl****@yahoo.com,721****862,successful,79,244999.99999999997
735,Elizabeth Kemp,108,15000.0,Mixer Grinder,Home Appliances,online,Bangalore,2025-06-20,5,Cash,0.05,El****@yahoo.com,650****868,successful,80,71250.0
704,Susan Thomas,107,50000.0,Dining Table,Furniture,offline,Chennai,2026-04-14,5,UPI,0.25,Su****@outlook.com,606****032,successful,81,187500.0
578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,Kr****@yahoo.com,604****323,successful,82,600000.0
11,James Leblanc,110,45000.0,Microwave,Home Appliances,online,Delhi,2025-06-28,3,NetBanking,0.2,Ja****@gmail.com,827****360,successful,83,108000.0
379,Andres Stokes,105,45000.0,TV,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,An****@yahoo.com,810****361,successful,84,180000.0
108,Andrew Vazquez,101,250000.0,Laptop,Electronics,online,Delhi,2025-08-30,5,Card,0.1,An****@yahoo.com,959****527,successful,85,1125000.0
427,Kelly Mccormick,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-09,4,NetBanking,0.05,Ke****@outlook.com,607****970,successful,86,4940.0
454,Larry Perkins,102,70000.0,Phone,Electronics,offline,Mumbai,2025-11-04,1,Cash,0.15,La****@yahoo.com,790****336,successful,87,59500.0
975,Jacqueline Doyle,110,45000.0,Microwave,Home Appliances,online,Hyderabad,2026-02-02,3,Card,0.2,Ja****@outlook.com,811****490,successful,88,108000.0
992,William Rose,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-12-20,5,Cash,0.15,Wi****@gmail.com,699****906,successful,89,212500.0
439,Billy James,102,70000.0,Phone,Electronics,offline,Mumbai,2026-03-24,3,Card,0.4,Bi****@outlook.com,896****874,successful,90,126000.0
645,Joshua Burton,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05,1,Cash,0.4,Jo****@outlook.com,670****788,successful,91,42000.0
728,Lisa Miller,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2026-03-28,1,NetBanking,0.05,Li****@gmail.com,870****795,successful,92,14250.0
403,Taylor Ellison,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,5,UPI,0.15,Ta****@gmail.com,825****832,successful,93,297500.0
50,Stacey Henderson,104,8000.0,Shoes,Clothing,online,Mumbai,2025-02-11,4,Cash,0.25,St****@gmail.com,603****385,successful,94,24000.0
478,Crystal Mejia,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-18,1,Cash,0.4,Cr****@outlook.com,843****187,successful,95,30000.0
153,Stephanie Hanna,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2025-12-27,1,Card,0.15,St****@outlook.com,969****701,successful,96,38250.0
