transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status
33,50,Stacey Henderson,104,8000.0,Shoes,Clothing,online,Mumbai,2025-06-14,-1,Card,0.4,Stacey33@gmail.com,6033182385,successful
74,907,Jeffrey Mccall,102,70000.0,Phone,Electronics,online,Hyderabad,2025-05-26,0,Card,0.4,Jeffrey63@gmail.com,6709574650,successful
76,335,Jacob Evans,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-04-11,-2,NetBanking,0.35,JacobEvans@yahoo.com,6483959310,successful
77,780,Elizabeth Miller,110,45000.0,Microwave,Home Appliances,offline,Delhi,2025-09-14,0,Card,0.3,ElizabethMiller@yahoo.com,8279569798,successful
97,723,Christopher Walter,106,80000.0,Sofa,Furniture,offline,Hyderabad,2026-02-27,0,NetBanking,0.15,ChristopherWalter@gmail.com,9036645707,successful
133,633,Julie Jackson,103,1300.0,Shirt,Clothing,offline,Delhi,2025-07-13,-1,UPI,0.2,Julie50@gmail.com,7168243701,successful
339,758,Nichole Jones,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-10-07,0,UPI,0.3,NicholeJones@yahoo.com,6141266772,successful
624,925,Steve Ayala,101,250000.0,Laptop,Electronics,offline,Hyderabad,2025-07-14,0,NetBanking,0.4,SteveAyala@gmail.com,9576287018,successful
674,826,Ryan Wade,102,70000.0,Phone,Electronics,online,Mumbai,2026-01-07,-1,Cash,0.4,RyanWade@outlook.com,7368883000,successful
841,725,Jody Martinez,105,45000.0,TV,Electronics,online,Bangalore,2025-04-19,0,NetBanking,0.4,JodyMartinez@gmail.com,7989096889,successful
885,821,Margaret Parker,108,15000.0,Mixer Grinder,Home Appliances,online,Delhi,2026-03-25,-1,NetBanking,0.25,Margaret32@gmail.com,9826127968,successful
921,324,Diana King,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-09-24,-2,Card,0.2,DianaKing@gmail.com,9014640716,successful
926,331,Jordan May,106,80000.0,Sofa,Furniture,offline,Chennai,2026-01-24,-1,Cash,0.05,JordanMay@gmail.com,9654448000,successful
1168,274,Joseph Parker,109,65000.0,Refrigerator,Home Appliances,online,Bangalore,2026-03-20,-1,Cash,0.05,JosephParker@gmail.com,7902179206,successful
1219,856,Suzanne Carroll,101,250000.0,Laptop,Electronics,online,Bangalore,2025-08-13,-1,Cash,0.2,SuzanneCarroll@outlook.com,8949371008,successful
